AES,encrypt,0.0
AES,decrypt,0.0222
AES,encrypt,0.0469
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0206
AES,encrypt,0.0015
AES,decrypt,0.0313
AES,encrypt,0.0
AES,decrypt,0.0313
AES,encrypt,0.0
AES,decrypt,0.0348
AES,encrypt,0.003
AES,decrypt,0.0156
AES,encrypt,0.0312
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0373
AES,encrypt,0.0
AES,decrypt,0.0157
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0221
AES,encrypt,0.0313
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0534
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0201
AES,encrypt,0.002
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0216
AES,decrypt,0.0005
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0181
AES,decrypt,0.004
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0683
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0226
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0499
AES,decrypt,0.0348
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0333
AES,encrypt,0.0045
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0313
AES,encrypt,0.3004
AES,decrypt,0.0156
AES,encrypt,0.0686
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0301
AES,encrypt,0.008
AES,decrypt,0.0
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0313
AES,decrypt,0.0202
AES,encrypt,0.002
AES,decrypt,0.0157
AES,encrypt,0.0156
AES,decrypt,0.0
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0
AES,encrypt,0.0216
AES,decrypt,0.0161
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0157
AES,decrypt,0.0221
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.084
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0
AES,encrypt,0.069
AES,decrypt,0.0156
AES,encrypt,0.0534
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0221
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0484
AES,decrypt,0.005
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0216
AES,decrypt,0.0161
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0172
AES,encrypt,0.005
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0157
AES,decrypt,0.0221
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0221
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0837
AES,decrypt,0.0157
AES,encrypt,0.0312
AES,decrypt,0.0
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0226
AES,encrypt,0.0157
AES,decrypt,0.0156
AES,encrypt,0.0
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0186
AES,decrypt,0.003
AES,encrypt,0.0157
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0171
AES,encrypt,0.005
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0534
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
AES,encrypt,0.0221
AES,decrypt,0.0156
AES,encrypt,0.0156
AES,decrypt,0.0156
